ID,Year,Month,French Way,Via de la Plata,Primitive Way,Portuguese Way,Northern Way,English Way,Other Ways,Muxia-Finisterre,Total,Spain,Germany,Italy,United States,Portugal,France,other_countries,Students,Workers,Freelancers,Employees,Teachers,Retirees,Technicians,Public_Servants,Unemployed,Housewives,other_works,<40,=>40,Europa,Oceania,Asia,Africa,America,Religious,Non-Religious,Foot,Bicycle,Other trans,Men,Women
200401,2004,1,566,25,17,16,14,5,0,0,643,546,14,12,13,0,9,50,144,94,87,64,54,50,47,34,23,22,24,587,56,608,10,5,0,20,612,31,599,44,0,454,189
200402,2004,2,1124,20,0,178,41,34,4,0,1401,1146,32,7,13,58,21,126,486,143,185,113,82,45,133,91,29,45,49,1351,50,1332,2,3,3,61,1340,61,1325,73,3,910,491
200403,2004,3,2349,92,9,411,103,141,0,0,3105,2703,114,20,30,22,23,196,822,376,349,358,132,157,283,251,81,210,86,2918,187,2986,4,15,0,100,2908,197,2864,201,40,1838,1267
200404,2004,4,12024,735,100,2132,256,290,17,0,15554,12745,458,154,171,489,408,1133,4552,1442,1968,2097,1050,829,1386,813,240,833,344,14570,984,14934,38,27,12,543,14312,1242,14172,1282,100,8437,7117
200405,2004,5,13485,704,120,1661,545,326,18,1,16860,11210,1221,514,284,226,1097,2313,1196,1047,2512,3626,598,2640,1940,1220,255,1334,492,14030,2830,15629,108,24,19,1080,15783,1077,14312,2363,185,9778,7082
200406,2004,6,15983,803,315,1181,740,258,15,0,19295,13236,1157,676,437,251,961,2583,2163,1371,2700,3738,857,2486,2320,1467,329,1276,588,16477,2818,17831,95,53,26,1290,18331,964,15632,3476,187,11223,8072
200407,2004,7,24798,1384,478,2947,1891,364,29,0,31891,25724,766,955,434,401,991,2627,12030,1391,2985,3855,3119,1546,2668,1729,274,1443,851,30132,1759,30615,55,67,31,1123,30162,1729,28124,3404,363,17096,14795
200408,2004,8,31264,3830,3800,3426,1962,1045,27,247,45601,36700,892,4071,124,716,1075,2031,15568,3219,5320,7109,3909,963,4154,1581,0,1754,2024,44303,1298,44785,25,59,21,711,43411,2190,39977,5229,395,25014,20587
200409,2004,9,18919,777,303,1767,630,324,22,10,22752,16547,1200,861,232,535,956,2430,4841,1289,2965,4270,934,2053,2714,1410,270,1241,765,20417,2335,21544,93,52,17,1046,21386,1366,19312,3191,249,12737,10015
200410,2004,10,11964,684,203,1148,436,107,12,2,14556,9833,843,335,215,419,789,2132,2372,782,2325,2491,615,1530,1857,957,242,922,463,12908,1648,13169,104,44,24,1215,13716,840,12951,1496,109,8337,6219
