ID,Year,Total,Spain,Germany,Italy,United States,Portugal,France,other_countries
200401,2004,643,546,14,12,13,0,9,50
200402,2004,1401,1146,32,7,13,58,21,126
200403,2004,3105,2703,114,20,30,22,23,196
200404,2004,15554,12745,458,154,171,489,408,1133
200405,2004,16860,11210,1221,514,284,226,1097,2313
200406,2004,19295,13236,1157,676,437,251,961,2583
200407,2004,31891,25724,766,955,434,401,991,2627
200408,2004,45601,36700,892,4071,124,716,1075,2031
200409,2004,22752,16547,1200,861,232,535,956,2430
200410,2004,14556,9833,843,335,215,419,789,2132
200411,2004,4410,3306,95,0,54,73,191,702
200412,2004,3802,3430,24,31,21,54,45,209
200501,2005,269,165,6,16,18,4,14,47
200502,2005,565,392,26,8,4,65,18,54
200503,2005,3121,2181,193,89,57,201,38,365
200504,2005,3307,1575,299,158,68,172,239,800
200505,2005,9310,3458,1475,553,307,276,924,2322
200506,2005,12619,5022,1461,1150,436,274,1193,3089
200507,2005,18804,12867,720,1108,474,317,880,2445
200508,2005,24831,17036,908,3115,167,560,887,2166
200509,2005,12168,6469,1207,863,242,361,822,2213
200510,2005,6873,2666,727,276,224,299,740,1951
200511,2005,1388,655,110,73,41,0,122,398
200512,2005,668,442,23,21,0,28,33,133
200601,2006,324,194,18,19,0,0,16,78
200602,2006,351,244,23,9,7,12,6,52
200603,2006,1096,558,110,31,16,118,40,226
200604,2006,7451,4550,449,244,102,750,349,1011
200605,2006,10147,3489,1430,729,236,292,1096,2880
200606,2006,13011,5001,1455,1226,393,381,1264,3297
200607,2006,18720,12166,830,1287,437,454,1021,2532
200608,2006,26183,15774,1079,5054,0,606,1019,2659
200609,2006,13470,6373,1617,1017,236,469,1047,2720
200610,2006,7700,2878,963,346,261,242,760,2260
200611,2006,1755,849,144,91,50,24,153,455
200612,2006,848,540,39,21,14,30,53,163
200701,2007,350,182,33,18,26,9,11,72
200702,2007,665,316,32,15,12,167,9,116
200703,2007,1680,1005,223,47,50,59,29,270
200704,2007,8115,4079,992,322,161,617,571,1377
200705,2007,12924,4299,2671,799,308,323,1250,3279
200706,2007,15182,5369,2733,1379,468,449,1193,3597
200707,2007,20156,12176,1480,1498,438,438,872,3261
200708,2007,27289,16330,1598,4615,205,854,948,2747
200709,2007,15282,6806,2300,1065,251,514,1088,3267
200710,2007,9443,3333,1566,435,203,319,841,2756
200711,2007,2496,1131,185,91,99,236,159,606
200712,2007,795,478,62,25,12,27,41,162
200801,2008,306,159,34,15,8,8,6,77
200802,2008,703,345,40,20,0,137,37,126
200803,2008,5327,3635,426,61,125,485,40,558
200804,2008,5648,2055,985,246,93,434,414,1425
200805,2008,16001,4835,3656,1019,345,765,1170,4216
200806,2008,15904,5626,2889,1465,445,456,1181,3848
200807,2008,21066,12814,1755,1470,416,398,846,3374
200808,2008,29996,18595,1593,4853,0,905,889,3169
200809,2008,17378,8117,2540,1083,0,484,994,4169
200810,2008,9878,3465,1624,431,286,0,847,3235
200811,2008,2309,1044,189,80,78,71,178,680
200812,2008,1085,736,52,27,16,66,46,154
200901,2009,523,275,36,39,9,18,16,131
200902,2009,698,312,49,25,0,174,28,112
200903,2009,1850,1133,238,72,47,43,44,276
200904,2009,10316,6095,1015,299,190,534,389,1798
200905,2009,16498,5761,2946,1002,357,867,1355,4215
200906,2009,19354,8273,2798,1251,492,843,1359,4344
200907,2009,26752,17614,1681,1335,486,496,1009,4138
200908,2009,35546,23575,1750,4728,254,844,972,3431
200909,2009,20623,10466,2554,1106,319,535,1224,4428
200910,2009,11731,4681,1572,449,287,439,926,3387
200911,2009,2353,1068,198,104,89,42,159,704
200912,2009,1010,597,41,38,19,65,35,227
201001,2010,1188,815,65,44,14,44,16,191
201002,2010,1640,1070,66,45,18,222,20,201
201003,2010,5883,4635,327,64,66,168,63,563
201004,2010,19587,14496,1081,324,186,876,566,2062
201005,2010,28846,17304,2600,1170,408,850,1399,5120
201006,2010,33756,20663,2439,1842,664,1665,1311,5178
201007,2010,42466,30755,1630,1986,664,850,1232,5356
201008,2010,61534,46088,1700,5953,273,1256,1617,4655
201009,2010,36848,23841,2574,1811,399,894,1444,5894
201010,2010,26598,17497,1663,787,461,660,1111,4429
201011,2010,8075,5975,250,162,112,141,303,1143
201012,2010,5967,5218,74,46,45,146,55,395
201101,2011,644,374,26,34,13,32,10,156
201102,2011,820,514,48,22,17,41,17,163
201103,2011,3023,1510,250,80,82,601,47,456
201104,2011,14154,8291,1379,329,243,1148,403,2365
201105,2011,19805,7706,3059,1203,484,758,1375,5225
201106,2011,25239,10236,3225,1904,703,1948,1510,5719
201107,2011,30842,20268,1643,1713,694,676,1033,4822
201108,2011,41489,26617,1902,4543,509,1502,1139,5285
201109,2011,26023,12568,3081,1522,0,985,1415,6461
201110,2011,16243,6922,1668,667,480,774,1013,4729
201111,2011,3591,1836,251,127,103,108,154,1023
201112,2011,1498,982,63,40,32,78,50,265
201201,2012,872,483,33,49,36,19,10,243
201202,2012,1305,587,62,23,19,322,19,275
201203,2012,3260,1732,327,111,112,229,90,662
201204,2012,14749,7331,1325,512,385,1591,593,3016
201205,2012,21776,7188,2901,1251,937,1101,1383,7020
201206,2012,25517,10551,2741,1658,1235,1445,1397,6496
201207,2012,32818,20157,1512,1776,1254,1278,975,5873
201208,2012,41096,25570,1735,4688,562,1833,1042,5674
201209,2012,27321,12239,2698,1389,1008,1265,1418,7313
201210,2012,18091,6735,1986,695,1254,919,931,5581
201211,2012,4170,1854,242,184,241,241,198,1221
201212,2012,1483,835,53,67,25,85,64,366
201301,2013,806,390,35,31,30,47,14,260
201302,2013,1382,604,55,26,34,284,24,357
201303,2013,7228,4439,455,139,237,808,73,1080
201304,2013,11532,4478,1200,487,549,1281,398,3143
201305,2013,25205,7961,3475,1579,1509,1068,1641,7977
201306,2013,29374,11383,2728,2184,2166,1867,1522,7530
201307,2013,36559,22472,1582,2315,1645,1176,953,6423
201308,2013,46726,29793,1854,5717,616,2083,1070,5601
201309,2013,30894,14547,2614,1846,1378,1269,1225,8024
201310,2013,19607,6584,1887,1032,1646,598,1117,6753
201311,2013,4907,2291,254,192,276,118,213,1574
201312,2013,1659,951,63,73,38,98,56,392
201401,2014,906,416,22,69,29,49,18,304
201402,2014,970,495,42,34,22,27,22,330
201403,2014,3150,1529,402,95,149,273,57,648
201404,2014,17347,8247,1257,973,588,1834,528,3924
201405,2014,27354,8736,2951,1898,1728,1694,1739,8613
201406,2014,33021,12661,3074,2843,2412,1794,1673,8570
201407,2014,39581,23811,1411,2686,1877,1274,1180,7349
201408,2014,51218,31294,1970,7733,798,2212,1137,6082
201409,2014,34457,14744,3024,2442,1647,1484,1445,9680
201410,2014,23205,8809,1787,1140,1947,678,1239,7615
201411,2014,4803,1922,325,219,316,192,237,1603
201412,2014,1870,961,78,109,64,145,69,456
201501,2015,1217,493,52,80,65,69,20,439
201502,2015,1544,667,54,49,43,233,0,500
201503,2015,5080,2891,437,151,183,449,54,918
201504,2015,17721,8727,1508,663,684,1237,538,4368
201505,2015,31076,9039,3674,2250,2034,2292,1663,10129
201506,2015,35923,13709,2900,3226,2998,1677,1783,9636
201507,2015,44794,27071,1705,3193,2069,1540,1194,8029
201508,2015,54794,33222,2236,7964,774,2235,1582,6789
201509,2015,37429,15365,3220,2820,1947,1671,1497,10918
201510,2015,25576,8030,2681,1363,2454,789,1262,9007
201511,2015,5228,2070,318,279,358,184,231,1799
201512,2015,2062,1096,83,111,60,105,73,546
201601,2016,1304,579,61,86,50,69,0,460
201602,2016,1733,689,84,86,42,259,32,543
201603,2016,11067,6834,819,247,284,885,0,2001
201604,2016,15100,5134,1560,950,679,1510,666,4605
201605,2016,32776,9384,4042,2411,2375,1506,1486,11577
201606,2016,39070,14187,3310,3751,3193,2158,1745,10732
201607,2016,45471,26710,2033,3307,2322,1564,1124,8418
201608,2016,53704,32249,2376,7507,865,2236,1183,7296
201609,2016,40149,15825,3671,3306,2365,1566,1196,12229
201610,2016,28222,8728,2759,1649,2617,1147,1015,10317
201611,2016,6394,2320,407,509,384,218,245,2322
201612,2016,2864,1591,98,135,60,127,76,789
201701,2017,1354,564,57,93,54,50,24,513
201702,2017,1696,692,91,77,54,145,0,639
201703,2017,5176,2290,584,269,231,423,87,1295
201704,2017,26925,12442,2331,1244,925,2777,628,6582
201705,2017,35347,9268,4304,2931,2685,1595,1489,13080
201706,2017,41619,14756,3967,3665,3797,1591,1568,12281
201707,2017,47470,27096,2168,3722,2505,1505,1131,9350
201708,2017,57680,34198,2363,9262,1137,1679,1151,7898
201709,2017,42189,16720,3780,3419,2515,1410,1236,13118
201710,2017,31341,10170,2837,1756,3105,1243,1107,11133
201711,2017,7346,2719,618,489,427,317,322,2465
201712,2017,2893,1564,127,146,87,206,72,703
201801,2018,1627,681,65,117,46,57,33,629
201802,2018,2181,791,129,113,45,342,62,701
201803,2018,11056,6215,944,295,405,980,122,2098
201804,2018,22068,7794,2510,1322,975,2127,565,6779
201805,2018,40665,11257,5124,3220,2936,0,1521,16612
201806,2018,45685,17420,3673,3917,4089,1807,1524,13261
201807,2018,50867,30187,2231,3565,2516,1520,971,9884
201808,2018,60415,36422,2319,8417,1114,2205,1100,8846
201809,2018,47006,18491,4162,3498,2799,1607,1341,15117
201810,2018,35602,11038,3498,1836,3104,1848,1185,13103
201811,2018,7651,2698,531,546,466,347,288,2786
201812,2018,2553,1145,110,163,87,120,63,877
201901,2019,1651,638,86,104,60,83,25,656
201902,2019,2119,913,134,90,64,125,37,758
201903,2019,7474,3113,961,301,367,774,100,1861
201904,2019,31722,12976,2798,1683,1171,3686,604,8808
201905,2019,46673,13130,4986,3537,3500,2120,1669,17736
201906,2019,49058,17857,4178,3642,4240,2605,1488,15054
201907,2019,53319,31066,2391,3642,2606,1723,1157,10741
201908,2019,62814,36564,2383,9189,1245,2596,1280,9565
201909,2019,45653,16429,4042,3662,3306,1528,1171,15524
201910,2019,36118,9718,3589,2198,3512,1565,1286,14260
201911,2019,8274,2804,526,511,490,473,344,3137
201912,2019,2710,1148,93,190,91,172,87,941
202001,2020,2001,658,99,174,72,80,41,878
202002,2020,3076,1142,183,164,70,466,37,1016
202003,2020,1948,897,220,63,85,115,32,539
202006,2020,12,11,0,0,0,0,0,7
202007,2020,9752,7859,336,321,43,303,161,736
202008,2020,19812,15168,642,1203,84,732,428,1563
202009,2020,10441,7275,479,411,41,662,336,1246
202010,2020,6418,3825,330,311,51,590,386,935
202011,2020,585,181,49,58,0,18,95,195
202012,2020,99,45,6,1,1,5,10,43
202101,2021,60,27,9,0,2,9,2,12
202102,2021,14,4,0,1,0,0,4,7
202103,2021,194,155,5,4,1,0,3,29
202104,2021,1024,808,42,18,25,23,17,95
202105,2021,4295,3024,130,102,19,474,79,472
202106,2021,14824,10382,424,440,162,1717,362,1343
202107,2021,33963,25750,830,1234,748,1131,862,3415
202108,2021,43575,34381,878,2404,543,1297,707,3373
202109,2021,37463,23830,1823,1692,1741,1551,996,5839
202110,2021,31170,16586,1901,1303,1952,2406,980,6052
202111,2021,9094,5020,428,481,409,620,351,1796
202112,2021,1193,809,32,46,24,70,52,172
202201,2022,1617,993,30,104,78,63,22,328
202202,2022,2034,1164,103,70,44,176,46,433
202203,2022,7389,3843,651,235,324,704,137,1498
202204,2022,34283,18427,2213,1184,1604,3206,586,7067
202205,2022,48254,18258,4457,3042,3882,2035,1589,14996
202206,2022,58012,27075,3911,3548,4908,3794,1812,12970
202207,2022,67374,45379,2059,3417,3547,1742,1303,9934
202208,2022,85842,61542,2103,8314,1374,2638,1344,8535
202209,2022,66196,33287,4017,3898,4473,2154,1506,16870
202210,2022,51356,20979,3013,2512,4992,2919,1515,15436
