ID,Year,Month,Total,Route,Count,Start_City,Start_Lat,Start_Long,End_City,End_Lat,End_Long
200401,2004,1,643,French Way,566,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200402,2004,2,1401,French Way,1124,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200403,2004,3,3105,French Way,2349,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200404,2004,4,15554,French Way,12024,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200405,2004,5,16860,French Way,13485,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200406,2004,6,19295,French Way,15983,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200407,2004,7,31891,French Way,24798,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200408,2004,8,45601,French Way,31264,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200409,2004,9,22752,French Way,18919,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200410,2004,10,14556,French Way,11964,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200411,2004,11,4410,French Way,3512,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200412,2004,12,3802,French Way,2649,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200501,2005,1,269,French Way,226,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200502,2005,2,565,French Way,478,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200503,2005,3,3121,French Way,2425,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200504,2005,4,3307,French Way,2661,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200505,2005,5,9310,French Way,7885,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200506,2005,6,12619,French Way,10997,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200507,2005,7,18804,French Way,15693,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200508,2005,8,24831,French Way,20873,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200509,2005,9,12168,French Way,10548,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200510,2005,10,6873,French Way,5980,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200511,2005,11,1388,French Way,1165,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200512,2005,12,668,French Way,479,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200601,2006,1,324,French Way,259,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200602,2006,2,351,French Way,285,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200603,2006,3,1096,French Way,944,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200604,2006,4,7451,French Way,5540,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200605,2006,5,10147,French Way,8462,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200606,2006,6,13011,French Way,11140,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200607,2006,7,18720,French Way,14717,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200608,2006,8,26183,French Way,21465,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200609,2006,9,13470,French Way,11455,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200610,2006,10,7700,French Way,6556,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200611,2006,11,1755,French Way,1454,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200612,2006,12,848,French Way,678,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200701,2007,1,350,French Way,294,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200702,2007,2,665,French Way,498,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200703,2007,3,1680,French Way,1405,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200704,2007,4,8115,French Way,6182,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200705,2007,5,12924,French Way,10619,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200706,2007,6,15182,French Way,12849,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200707,2007,7,20156,French Way,15509,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200708,2007,8,27289,French Way,21636,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200709,2007,9,15282,French Way,12615,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200710,2007,10,9443,French Way,8002,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200711,2007,11,2496,French Way,1942,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200712,2007,12,795,French Way,616,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200801,2008,1,306,French Way,240,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200802,2008,2,703,French Way,552,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200803,2008,3,5327,French Way,3792,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200804,2008,4,5648,French Way,4365,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200805,2008,5,16001,French Way,12841,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200806,2008,6,15904,French Way,13292,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200807,2008,7,21066,French Way,15937,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200808,2008,8,29996,French Way,23127,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200809,2008,9,17378,French Way,14136,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200810,2008,10,9878,French Way,8278,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200811,2008,11,2309,French Way,1872,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200812,2008,12,1085,French Way,634,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200901,2009,1,523,French Way,420,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200902,2009,2,698,French Way,514,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200903,2009,3,1850,French Way,1431,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200904,2009,4,10316,French Way,7870,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200905,2009,5,16498,French Way,12631,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200906,2009,6,19354,French Way,15267,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200907,2009,7,26752,French Way,20184,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200908,2009,8,35546,French Way,27306,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200909,2009,9,20623,French Way,16435,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200910,2009,10,11731,French Way,9357,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200911,2009,11,2353,French Way,1960,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
200912,2009,12,1010,French Way,701,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201001,2010,1,1188,French Way,866,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201002,2010,2,1640,French Way,1256,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201003,2010,3,5883,French Way,4014,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201004,2010,4,19587,French Way,13646,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201005,2010,5,28846,French Way,20920,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201006,2010,6,33756,French Way,23761,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201007,2010,7,42466,French Way,29378,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201008,2010,8,61534,French Way,38930,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201009,2010,9,36848,French Way,27576,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201010,2010,10,26598,French Way,19588,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201011,2010,11,8075,French Way,5515,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201012,2010,12,5967,French Way,3829,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201101,2011,1,644,French Way,486,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201102,2011,2,820,French Way,628,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201103,2011,3,3023,French Way,1913,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201104,2011,4,14154,French Way,9914,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201105,2011,5,19805,French Way,14338,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201106,2011,6,25239,French Way,18211,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201107,2011,7,30842,French Way,22427,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201108,2011,8,41489,French Way,29799,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201109,2011,9,26023,French Way,19114,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201110,2011,10,16243,French Way,12149,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201111,2011,11,3591,French Way,2712,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201112,2011,12,1498,French Way,1004,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201201,2012,1,872,French Way,627,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201202,2012,2,1305,French Way,901,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201203,2012,3,3260,French Way,2196,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201204,2012,4,14749,French Way,9748,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201205,2012,5,21776,French Way,15527,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201206,2012,6,25517,French Way,18262,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201207,2012,7,32818,French Way,22396,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201208,2012,8,41096,French Way,27799,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201209,2012,9,27321,French Way,19884,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201210,2012,10,18091,French Way,13601,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201211,2012,11,4170,French Way,3019,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201212,2012,12,1483,French Way,1024,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201301,2013,1,806,French Way,562,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201302,2013,2,1382,French Way,946,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201303,2013,3,7228,French Way,4708,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201304,2013,4,11532,French Way,7832,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201305,2013,5,25205,French Way,18110,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201306,2013,6,29374,French Way,20968,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201307,2013,7,36559,French Way,25240,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201308,2013,8,46726,French Way,31609,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201309,2013,9,30894,French Way,22136,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201310,2013,10,19607,French Way,14891,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201311,2013,11,4907,French Way,3677,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201312,2013,12,1659,French Way,1139,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
201401,2014,1,906,French Way,609,Roncesvalles,43.016,-1.233,Santiago,42.88,-8.546
