ID,Year,Month,Foot,Bicycle,Total,Other trans
200401,2004,1,599,44,643,0
200402,2004,2,1325,73,1401,3
200403,2004,3,2864,201,3105,40
200404,2004,4,14172,1282,15554,100
200405,2004,5,14312,2363,16860,185
200406,2004,6,15632,3476,19295,187
200407,2004,7,28124,3404,31891,363
200408,2004,8,39977,5229,45601,395
200409,2004,9,19312,3191,22752,249
200410,2004,10,12951,1496,14556,109
200411,2004,11,4066,308,4410,36
200412,2004,12,3555,183,3802,64
200501,2005,1,244,24,269,1
200502,2005,2,539,26,565,0
200503,2005,3,2790,321,3121,10
200504,2005,4,2968,329,3307,10
200505,2005,5,7348,1920,9310,42
200506,2005,6,9560,3039,12619,20
200507,2005,7,15810,2918,18804,76
200508,2005,8,19766,4991,24831,74
200509,2005,9,9807,2348,12168,13
200510,2005,10,5953,905,6873,15
200511,2005,11,1269,118,1388,1
200512,2005,12,621,44,668,3
200601,2006,1,299,23,324,2
200602,2006,2,329,22,351,0
200603,2006,3,1020,72,1096,4
200604,2006,4,6289,1135,7451,27
200605,2006,5,8254,1862,10147,31
200606,2006,6,9850,3112,13011,49
200607,2006,7,15732,2925,18720,63
200608,2006,8,20856,5274,26183,53
200609,2006,9,10687,2749,13470,34
200610,2006,10,6681,991,7700,28
200611,2006,11,1574,168,1755,13
200612,2006,12,782,65,848,1
200701,2007,1,322,28,350,0
200702,2007,2,638,27,665,0
200703,2007,3,1530,138,1680,12
200704,2007,4,6795,1283,8115,37
200705,2007,5,10701,2197,12924,26
200706,2007,6,11999,3136,15182,47
200707,2007,7,16959,3150,20156,47
200708,2007,8,21899,5297,27289,93
200709,2007,9,12306,2925,15282,51
200710,2007,10,8118,1274,9443,51
200711,2007,11,2230,259,2496,7
200712,2007,12,744,51,795,0
200801,2008,1,288,18,306,0
200802,2008,2,657,46,703,0
200803,2008,3,4665,628,5327,34
200804,2008,4,4815,826,5648,7
200805,2008,5,12799,3150,16001,52
200806,2008,6,12576,3293,15904,35
200807,2008,7,18085,2937,21066,44
200808,2008,8,24192,5741,29996,63
200809,2008,9,14088,3224,17378,66
200810,2008,10,8754,1097,9878,27
200811,2008,11,2112,193,2309,4
200812,2008,12,991,94,1085,0
200901,2009,1,490,32,523,1
200902,2009,2,636,62,698,0
200903,2009,3,1590,249,1850,11
200904,2009,4,8875,1395,10316,46
200905,2009,5,13398,3050,16498,50
200906,2009,6,15423,3883,19354,48
200907,2009,7,22551,4143,26752,58
200908,2009,8,28808,6649,35546,89
200909,2009,9,16817,3751,20623,55
200910,2009,10,10141,1576,11731,14
200911,2009,11,2133,215,2353,5
200912,2009,12,884,122,1010,4
201001,2010,1,1122,51,1188,15
201002,2010,2,1533,103,1640,4
201003,2010,3,5466,415,5883,2
201004,2010,4,17293,2085,19587,209
201005,2010,5,24648,4073,28846,125
201006,2010,6,27891,5710,33756,155
201007,2010,7,37649,4622,42466,195
201008,2010,8,53688,7644,61534,202
201009,2010,9,31665,5042,36848,141
201010,2010,10,23746,2732,26598,120
201011,2010,11,7505,543,8075,27
201012,2010,12,5638,257,5967,72
201101,2011,1,610,33,644,1
201102,2011,2,750,70,820,0
201103,2011,3,2472,550,3023,1
201104,2011,4,12304,1813,14154,37
201105,2011,5,16687,3063,19805,55
201106,2011,6,19806,5384,25239,49
201107,2011,7,26081,4709,30842,52
201108,2011,8,34064,7383,41489,42
201109,2011,9,21518,4446,26023,59
201110,2011,10,14187,2009,16243,47
201111,2011,11,3264,318,3591,9
201112,2011,12,1328,170,1498,0
201201,2012,1,810,62,872,0
201202,2012,2,1221,78,1305,6
201203,2012,3,2932,324,3260,4
201204,2012,4,12753,1953,14749,43
201205,2012,5,18598,3147,21776,31
201206,2012,6,20853,4631,25517,33
201207,2012,7,28690,4095,32818,33
201208,2012,8,34557,6480,41096,59
201209,2012,9,23266,4023,27321,32
201210,2012,10,15897,2140,18091,54
201211,2012,11,3778,389,4170,3
201212,2012,12,1394,84,1483,5
201301,2013,1,760,44,806,2
201302,2013,2,1260,112,1382,10
201303,2013,3,6681,477,7228,70
201304,2013,4,9865,1600,11532,67
201305,2013,5,22038,3016,25205,151
201306,2013,6,24144,5061,29374,169
201307,2013,7,32356,3989,36559,214
