ID,Year,Month,Total,Travel_Method,Count
200401,2004,1,643,Foot,599
200402,2004,2,1401,Foot,1325
200403,2004,3,3105,Foot,2864
200404,2004,4,15554,Foot,14172
200405,2004,5,16860,Foot,14312
200406,2004,6,19295,Foot,15632
200407,2004,7,31891,Foot,28124
200408,2004,8,45601,Foot,39977
200409,2004,9,22752,Foot,19312
200410,2004,10,14556,Foot,12951
200411,2004,11,4410,Foot,4066
200412,2004,12,3802,Foot,3555
200501,2005,1,269,Foot,244
200502,2005,2,565,Foot,539
200503,2005,3,3121,Foot,2790
200504,2005,4,3307,Foot,2968
200505,2005,5,9310,Foot,7348
200506,2005,6,12619,Foot,9560
200507,2005,7,18804,Foot,15810
200508,2005,8,24831,Foot,19766
200509,2005,9,12168,Foot,9807
200510,2005,10,6873,Foot,5953
200511,2005,11,1388,Foot,1269
200512,2005,12,668,Foot,621
200601,2006,1,324,Foot,299
200602,2006,2,351,Foot,329
200603,2006,3,1096,Foot,1020
200604,2006,4,7451,Foot,6289
200605,2006,5,10147,Foot,8254
200606,2006,6,13011,Foot,9850
200607,2006,7,18720,Foot,15732
200608,2006,8,26183,Foot,20856
200609,2006,9,13470,Foot,10687
200610,2006,10,7700,Foot,6681
200611,2006,11,1755,Foot,1574
200612,2006,12,848,Foot,782
200701,2007,1,350,Foot,322
200702,2007,2,665,Foot,638
200703,2007,3,1680,Foot,1530
200704,2007,4,8115,Foot,6795
200705,2007,5,12924,Foot,10701
200706,2007,6,15182,Foot,11999
200707,2007,7,20156,Foot,16959
200708,2007,8,27289,Foot,21899
200709,2007,9,15282,Foot,12306
200710,2007,10,9443,Foot,8118
200711,2007,11,2496,Foot,2230
200712,2007,12,795,Foot,744
200801,2008,1,306,Foot,288
200802,2008,2,703,Foot,657
200803,2008,3,5327,Foot,4665
200804,2008,4,5648,Foot,4815
200805,2008,5,16001,Foot,12799
200806,2008,6,15904,Foot,12576
200807,2008,7,21066,Foot,18085
200808,2008,8,29996,Foot,24192
200809,2008,9,17378,Foot,14088
200810,2008,10,9878,Foot,8754
200811,2008,11,2309,Foot,2112
200812,2008,12,1085,Foot,991
200901,2009,1,523,Foot,490
200902,2009,2,698,Foot,636
200903,2009,3,1850,Foot,1590
200904,2009,4,10316,Foot,8875
200905,2009,5,16498,Foot,13398
200906,2009,6,19354,Foot,15423
200907,2009,7,26752,Foot,22551
200908,2009,8,35546,Foot,28808
200909,2009,9,20623,Foot,16817
200910,2009,10,11731,Foot,10141
200911,2009,11,2353,Foot,2133
200912,2009,12,1010,Foot,884
201001,2010,1,1188,Foot,1122
201002,2010,2,1640,Foot,1533
201003,2010,3,5883,Foot,5466
201004,2010,4,19587,Foot,17293
201005,2010,5,28846,Foot,24648
201006,2010,6,33756,Foot,27891
201007,2010,7,42466,Foot,37649
201008,2010,8,61534,Foot,53688
201009,2010,9,36848,Foot,31665
201010,2010,10,26598,Foot,23746
201011,2010,11,8075,Foot,7505
201012,2010,12,5967,Foot,5638
201101,2011,1,644,Foot,610
201102,2011,2,820,Foot,750
201103,2011,3,3023,Foot,2472
201104,2011,4,14154,Foot,12304
201105,2011,5,19805,Foot,16687
201106,2011,6,25239,Foot,19806
201107,2011,7,30842,Foot,26081
201108,2011,8,41489,Foot,34064
201109,2011,9,26023,Foot,21518
201110,2011,10,16243,Foot,14187
201111,2011,11,3591,Foot,3264
201112,2011,12,1498,Foot,1328
201201,2012,1,872,Foot,810
201202,2012,2,1305,Foot,1221
201203,2012,3,3260,Foot,2932
201204,2012,4,14749,Foot,12753
201205,2012,5,21776,Foot,18598
201206,2012,6,25517,Foot,20853
201207,2012,7,32818,Foot,28690
201208,2012,8,41096,Foot,34557
