ID,Year,Month,Total,<40,=>40
200401,2004,1,643,587,56
200402,2004,2,1401,1351,50
200403,2004,3,3105,2918,187
200404,2004,4,15554,14570,984
200405,2004,5,16860,14030,2830
200406,2004,6,19295,16477,2818
200407,2004,7,31891,30132,1759
200408,2004,8,45601,44303,1298
200409,2004,9,22752,20417,2335
200410,2004,10,14556,12908,1648
200411,2004,11,4410,4040,370
200412,2004,12,3802,3580,222
200501,2005,1,269,260,9
200502,2005,2,565,542,23
200503,2005,3,3121,3029,92
200504,2005,4,3307,2835,472
200505,2005,5,9310,7261,2049
200506,2005,6,12619,9903,2716
200507,2005,7,18804,17600,1204
200508,2005,8,24831,24026,805
200509,2005,9,12168,10555,1613
200510,2005,10,6873,5612,1261
200511,2005,11,1388,1248,140
200512,2005,12,668,639,29
200601,2006,1,324,305,19
200602,2006,2,351,333,18
200603,2006,3,1096,1028,68
200604,2006,4,7451,6892,559
200605,2006,5,10147,7627,2520
200606,2006,6,13011,10137,2874
200607,2006,7,18720,17576,1144
200608,2006,8,26183,25295,888
200609,2006,9,13470,11303,2167
200610,2006,10,7700,6253,1447
200611,2006,11,1755,1542,213
200612,2006,12,848,796,52
200701,2007,1,350,330,20
200702,2007,2,665,641,24
200703,2007,3,1680,1547,133
200704,2007,4,8115,7142,973
200705,2007,5,12924,9704,3220
200706,2007,6,15182,11883,3299
200707,2007,7,20156,18698,1458
200708,2007,8,27289,26178,1111
200709,2007,9,15282,12757,2525
200710,2007,10,9443,7580,1863
200711,2007,11,2496,2226,270
200712,2007,12,795,764,31
200801,2008,1,306,287,19
200802,2008,2,703,681,22
200803,2008,3,5327,5044,283
200804,2008,4,5648,4555,1093
200805,2008,5,16001,12176,3825
200806,2008,6,15904,12171,3733
200807,2008,7,21066,19536,1530
200808,2008,8,29996,28799,1197
200809,2008,9,17378,14409,2969
200810,2008,10,9878,7807,2071
200811,2008,11,2309,2024,285
200812,2008,12,1085,1006,79
200901,2009,1,523,499,24
200902,2009,2,698,663,35
200903,2009,3,1850,1678,172
200904,2009,4,10316,9304,1012
200905,2009,5,16498,12538,3960
200906,2009,6,19354,15262,4092
200907,2009,7,26752,24894,1858
200908,2009,8,35546,34145,1401
200909,2009,9,20623,17289,3334
200910,2009,10,11731,9312,2419
200911,2009,11,2353,2062,291
200912,2009,12,1010,932,78
201001,2010,1,1188,1097,91
201002,2010,2,1640,1557,83
201003,2010,3,5883,5398,485
201004,2010,4,19587,17338,2249
201005,2010,5,28846,22556,6290
201006,2010,6,33756,27328,6428
201007,2010,7,42466,38801,3665
201008,2010,8,61534,58736,2798
201009,2010,9,36848,31043,5805
201010,2010,10,26598,22073,4525
201011,2010,11,8075,7004,1071
201012,2010,12,5967,5436,531
201101,2011,1,644,619,25
201102,2011,2,820,781,39
201103,2011,3,3023,2847,176
201104,2011,4,14154,12695,1459
201105,2011,5,19805,14680,5125
201106,2011,6,25239,19725,5514
201107,2011,7,30842,28236,2606
201108,2011,8,41489,39470,2019
201109,2011,9,26023,21343,4680
201110,2011,10,16243,12926,3317
201111,2011,11,3591,3139,452
201112,2011,12,1498,1420,78
201201,2012,1,872,815,57
201202,2012,2,1305,1237,68
201203,2012,3,3260,2950,310
201204,2012,4,14749,12937,1812
201205,2012,5,21776,15963,5813
201206,2012,6,25517,19647,5870
201207,2012,7,32818,30254,2564
201208,2012,8,41096,39038,2058
201209,2012,9,27321,22056,5265
201210,2012,10,18091,14090,4001
201211,2012,11,4170,3686,484
201212,2012,12,1483,1342,141
201301,2013,1,806,760,46
201302,2013,2,1382,1329,53
201303,2013,3,7228,6778,450
201304,2013,4,11532,9634,1898
201305,2013,5,25205,18330,6875
201306,2013,6,29374,22674,6700
201307,2013,7,36559,33295,3264
201308,2013,8,46726,44186,2540
201309,2013,9,30894,24801,6093
201310,2013,10,19607,14926,4681
201311,2013,11,4907,4236,671
201312,2013,12,1659,1472,187
201401,2014,1,906,844,62
201402,2014,2,970,883,87
201403,2014,3,3150,2849,301
201404,2014,4,17347,15234,2113
