ID,Year,Month,Religious,Non-Religious,Total
200401,2004,1,612,31,643
200402,2004,2,1340,61,1401
200403,2004,3,2908,197,3105
200404,2004,4,14312,1242,15554
200405,2004,5,15783,1077,16860
200406,2004,6,18331,964,19295
200407,2004,7,30162,1729,31891
200408,2004,8,43411,2190,45601
200409,2004,9,21386,1366,22752
200410,2004,10,13716,840,14556
200411,2004,11,4196,214,4410
200412,2004,12,3627,175,3802
200501,2005,1,242,27,269
200502,2005,2,544,21,565
200503,2005,3,2791,330,3121
200504,2005,4,3020,287,3307
200505,2005,5,8522,788,9310
200506,2005,6,11759,860,12619
200507,2005,7,17080,1724,18804
200508,2005,8,22393,2438,24831
200509,2005,9,10863,1305,12168
200510,2005,10,6339,534,6873
200511,2005,11,1265,123,1388
200512,2005,12,613,55,668
200601,2006,1,283,41,324
200602,2006,2,322,29,351
200603,2006,3,1005,91,1096
200604,2006,4,6731,720,7451
200605,2006,5,9418,729,10147
200606,2006,6,11948,1063,13011
200607,2006,7,17015,1705,18720
200608,2006,8,23699,2484,26183
200609,2006,9,12246,1224,13470
200610,2006,10,7064,636,7700
200611,2006,11,1607,148,1755
200612,2006,12,799,49,848
200701,2007,1,342,8,350
200702,2007,2,621,44,665
200703,2007,3,1530,150,1680
200704,2007,4,7330,785,8115
200705,2007,5,12086,838,12924
200706,2007,6,14102,1080,15182
200707,2007,7,18649,1507,20156
200708,2007,8,24723,2566,27289
200709,2007,9,13878,1404,15282
200710,2007,10,8593,850,9443
200711,2007,11,2278,218,2496
200712,2007,12,718,77,795
200801,2008,1,267,39,306
200802,2008,2,659,44,703
200803,2008,3,4748,579,5327
200804,2008,4,5212,436,5648
200805,2008,5,14834,1167,16001
200806,2008,6,14608,1296,15904
200807,2008,7,19280,1786,21066
200808,2008,8,27182,2814,29996
200809,2008,9,15768,1610,17378
200810,2008,10,9093,785,9878
200811,2008,11,2116,193,2309
200812,2008,12,978,107,1085
200901,2009,1,481,42,523
200902,2009,2,649,49,698
200903,2009,3,1637,213,1850
200904,2009,4,9218,1098,10316
200905,2009,5,15223,1275,16498
200906,2009,6,17793,1561,19354
200907,2009,7,24329,2423,26752
200908,2009,8,32084,3462,35546
200909,2009,9,18551,2072,20623
200910,2009,10,10732,999,11731
200911,2009,11,2100,253,2353
200912,2009,12,923,87,1010
201001,2010,1,1122,66,1188
201002,2010,2,1551,89,1640
201003,2010,3,5572,311,5883
201004,2010,4,18243,1344,19587
201005,2010,5,27468,1378,28846
201006,2010,6,31976,1780,33756
201007,2010,7,40058,2408,42466
201008,2010,8,58624,2910,61534
201009,2010,9,35027,1821,36848
201010,2010,10,25528,1070,26598
201011,2010,11,7735,340,8075
201012,2010,12,5769,198,5967
201101,2011,1,597,47,644
201102,2011,2,804,16,820
201103,2011,3,2899,124,3023
201104,2011,4,13115,1039,14154
201105,2011,5,18989,816,19805
201106,2011,6,24001,1238,25239
201107,2011,7,28825,2017,30842
201108,2011,8,38537,2952,41489
201109,2011,9,24393,1630,26023
201110,2011,10,15228,1015,16243
201111,2011,11,3349,242,3591
201112,2011,12,1385,113,1498
201201,2012,1,824,48,872
201202,2012,2,1248,57,1305
201203,2012,3,3088,172,3260
201204,2012,4,13709,1040,14749
201205,2012,5,20776,1000,21776
201206,2012,6,24212,1305,25517
201207,2012,7,30627,2191,32818
201208,2012,8,37851,3245,41096
201209,2012,9,25675,1646,27321
201210,2012,10,17265,826,18091
201211,2012,11,3963,207,4170
201212,2012,12,1394,89,1483
201301,2013,1,749,57,806
201302,2013,2,1320,62,1382
201303,2013,3,6713,515,7228
201304,2013,4,10896,636,11532
201305,2013,5,24059,1146,25205
201306,2013,6,27852,1522,29374
201307,2013,7,34221,2338,36559
201308,2013,8,43731,2995,46726
201309,2013,9,29459,1435,30894
201310,2013,10,18816,791,19607
201311,2013,11,4689,218,4907
201312,2013,12,1567,92,1659
201401,2014,1,863,43,906
201402,2014,2,913,57,970
201403,2014,3,2968,182,3150
201404,2014,4,16265,1082,17347
201405,2014,5,25752,1602,27354
201406,2014,6,30926,2095,33021
201407,2014,7,36606,2975,39581
201408,2014,8,47087,4131,51218
201409,2014,9,32035,2422,34457
201410,2014,10,21804,1401,23205
201411,2014,11,4473,330,4803
201412,2014,12,1729,141,1870
201501,2015,1,1091,126,1217
201502,2015,2,1422,122,1544
201503,2015,3,4667,413,5080
201504,2015,4,15985,1736,17721
201505,2015,5,28869,2207,31076
201506,2015,6,33135,2788,35923
201507,2015,7,41383,3411,44794
201508,2015,8,49633,5161,54794
201509,2015,9,34390,3039,37429
201510,2015,10,24211,1365,25576
201511,2015,11,4911,317,5228
201512,2015,12,1938,124,2062
