ID,Men,Women,=>40,<40,Total
200401.0,454.0,189.0,56,587,643.0
200402.0,910.0,491.0,50,1351,1401.0
200403.0,1838.0,1267.0,187,2918,3105.0
200404.0,8437.0,7117.0,984,14570,15554.0
200405.0,9778.0,7082.0,2830,14030,16860.0
200406.0,11223.0,8072.0,2818,16477,19295.0
200407.0,17096.0,14795.0,1759,30132,31891.0
200408.0,25014.0,20587.0,1298,44303,45601.0
200409.0,12737.0,10015.0,2335,20417,22752.0
200410.0,8337.0,6219.0,1648,12908,14556.0
200411.0,2454.0,1956.0,370,4040,4410.0
200412.0,2105.0,1697.0,222,3580,3802.0
200501.0,196.0,73.0,9,260,269.0
200502.0,333.0,232.0,23,542,565.0
200503.0,1875.0,1246.0,92,3029,3121.0
200504.0,1944.0,1363.0,472,2835,3307.0
200505.0,5635.0,3675.0,2049,7261,9310.0
200506.0,7859.0,4760.0,2716,9903,12619.0
200507.0,10677.0,8127.0,1204,17600,18804.0
200508.0,14468.0,10363.0,805,24026,24831.0
200509.0,7155.0,5013.0,1613,10555,12168.0
200510.0,4142.0,2731.0,1261,5612,6873.0
200511.0,928.0,460.0,140,1248,1388.0
200512.0,495.0,173.0,29,639,668.0
200601.0,241.0,83.0,19,305,324.0
200602.0,225.0,126.0,18,333,351.0
200603.0,710.0,386.0,68,1028,1096.0
200604.0,4333.0,3118.0,559,6892,7451.0
200605.0,6212.0,3935.0,2520,7627,10147.0
200606.0,8037.0,4974.0,2874,10137,13011.0
200607.0,10513.0,8207.0,1144,17576,18720.0
200608.0,15373.0,10810.0,888,25295,26183.0
200609.0,7819.0,5651.0,2167,11303,13470.0
200610.0,4602.0,3098.0,1447,6253,7700.0
200611.0,1167.0,588.0,213,1542,1755.0
200612.0,605.0,243.0,52,796,848.0
200701.0,252.0,98.0,20,330,350.0
200702.0,418.0,247.0,24,641,665.0
200703.0,1057.0,623.0,133,1547,1680.0
200704.0,4690.0,3425.0,973,7142,8115.0
200705.0,7725.0,5199.0,3220,9704,12924.0
200706.0,9110.0,6072.0,3299,11883,15182.0
200707.0,11295.0,8861.0,1458,18698,20156.0
200708.0,15912.0,11377.0,1111,26178,27289.0
200709.0,8802.0,6480.0,2525,12757,15282.0
