ID,Year,Month,French Way,Via de la Plata,Primitive Way,Portuguese Way,Northern Way,English Way,Other Ways,Muxia-Finisterre,Total,route_id
200401,2004,1,566,25,17,16,14,5,0,0,643,1
200402,2004,2,1124,20,0,178,41,34,4,0,1401,2
200403,2004,3,2349,92,9,411,103,141,0,0,3105,3
200404,2004,4,12024,735,100,2132,256,290,17,0,15554,4
200405,2004,5,13485,704,120,1661,545,326,18,1,16860,5
200406,2004,6,15983,803,315,1181,740,258,15,0,19295,6
200407,2004,7,24798,1384,478,2947,1891,364,29,0,31891,7
200408,2004,8,31264,3830,3800,3426,1962,1045,27,247,45601,8
200409,2004,9,18919,777,303,1767,630,324,22,10,22752,9
200410,2004,10,11964,684,203,1148,436,107,12,2,14556,10
200411,2004,11,3512,180,87,379,146,98,0,8,4410,11
200412,2004,12,2649,98,149,588,206,100,0,12,3802,12
200501,2005,1,226,9,1,21,8,3,0,1,269,13
200502,2005,2,478,20,5,54,4,3,1,0,565,14
200503,2005,3,2425,129,86,301,118,57,2,3,3121,15
200504,2005,4,2661,148,32,406,41,16,2,1,3307,16
200505,2005,5,7885,493,78,564,248,36,6,0,9310,17
200506,2005,6,10997,469,113,600,376,45,8,11,12619,18
200507,2005,7,15693,612,311,962,970,171,36,49,18804,19
200508,2005,8,20873,639,349,1524,1251,135,33,27,24831,20
200509,2005,9,10548,304,161,578,487,75,6,9,12168,21
200510,2005,10,5980,206,49,396,205,25,8,4,6873,22
200511,2005,11,1165,82,6,45,37,44,9,0,1388,23
200512,2005,12,479,30,24,56,35,41,1,2,668,24
200601,2006,1,259,15,5,27,14,2,0,2,324,25
200602,2006,2,285,11,0,33,13,8,0,1,351,26
200603,2006,3,944,37,8,60,40,5,1,1,1096,27
200604,2006,4,5540,358,70,1088,291,82,11,11,7451,28
200605,2006,5,8462,538,128,636,302,32,15,34,10147,29
200606,2006,6,11140,521,108,693,456,73,15,5,13011,30
200607,2006,7,14717,714,328,1301,1404,211,12,33,18720,31
200608,2006,8,21465,687,761,1425,1566,242,29,8,26183,32
200609,2006,9,11455,306,240,685,703,52,5,24,13470,33
200610,2006,10,6556,253,109,419,296,58,5,4,7700,34
200611,2006,11,1454,72,36,62,101,30,0,0,1755,35
200612,2006,12,678,26,24,90,11,17,2,0,848,36
200701,2007,1,294,11,13,17,15,0,0,0,350,37
200702,2007,2,498,20,5,90,45,5,1,1,665,38
200703,2007,3,1405,40,14,126,58,22,14,1,1680,39
200704,2007,4,6182,448,176,1006,184,90,10,19,8115,40
200705,2007,5,10619,666,257,858,394,105,21,4,12924,41
200706,2007,6,12849,520,240,842,588,116,18,9,15182,42
200707,2007,7,15509,827,569,1501,1401,253,20,76,20156,43
200708,2007,8,21636,716,902,1895,1813,269,28,30,27289,44
200709,2007,9,12615,459,351,1005,687,108,27,30,15282,45
200710,2007,10,8002,358,121,540,372,38,6,6,9443,46
200711,2007,11,1942,96,82,217,102,55,2,0,2496,47
200712,2007,12,616,42,17,43,49,25,0,3,795,48
200801,2008,1,240,18,5,28,10,1,2,2,306,49
200802,2008,2,552,28,10,97,12,4,0,0,703,50
200803,2008,3,3792,293,199,621,266,78,41,37,5327,51
200804,2008,4,4365,301,62,700,132,77,5,6,5648,52
200805,2008,5,12841,875,263,1303,555,128,28,8,16001,53
200806,2008,6,13292,606,274,906,717,78,24,7,15904,54
200807,2008,7,15937,892,575,1593,1713,341,14,1,21066,55
200808,2008,8,23127,1071,798,2368,2192,338,81,21,29996,56
200809,2008,9,14136,559,412,1163,895,181,16,16,17378,57
200810,2008,10,8278,335,180,514,366,190,13,2,9878,58
200811,2008,11,1872,116,58,152,77,27,4,3,2309,59
200812,2008,12,634,35,17,370,19,8,1,1,1085,60
200901,2009,1,420,21,25,30,21,5,1,0,523,61
200902,2009,2,514,37,16,100,17,11,3,0,698,62
200903,2009,3,1431,112,61,161,49,16,10,10,1850,63
200904,2009,4,7870,580,224,1150,342,122,12,16,10316,64
200905,2009,5,12631,1061,338,1621,645,151,46,5,16498,65
200906,2009,6,15267,876,430,1505,1058,191,26,1,19354,66
200907,2009,7,20184,1117,638,2150,2216,412,33,2,26752,67
200908,2009,8,27306,1187,1169,2606,2627,592,45,14,35546,68
200909,2009,9,16435,651,542,1500,1275,184,23,13,20623,69
200910,2009,10,9357,531,237,942,537,106,15,6,11731,70
200911,2009,11,1960,79,62,139,75,21,10,7,2353,71
200912,2009,12,701,60,41,157,37,9,3,2,1010,72
201001,2010,1,866,65,35,111,99,10,1,1,1188,73
201002,2010,2,1256,44,42,228,43,26,1,0,1640,74
201003,2010,3,4014,391,148,850,278,180,15,7,5883,75
201004,2010,4,13646,1111,468,3155,723,435,21,28,19587,76
201005,2010,5,20920,1598,785,3621,1201,499,101,121,28846,77
201006,2010,6,23761,1661,1009,4250,2128,784,137,26,33756,78
201007,2010,7,29378,2132,1166,5314,3251,1036,75,114,42466,79
201008,2010,8,38930,3764,2041,7542,5907,1858,146,1346,61534,80
201009,2010,9,27576,1495,1003,3890,2243,562,46,33,36848,81
201010,2010,10,19588,1198,793,3074,1216,615,35,79,26598,82
201011,2010,11,5515,493,300,1139,378,178,53,19,8075,83
201012,2010,12,3829,300,253,1080,196,279,7,23,5967,84
201101,2011,1,486,17,18,60,53,7,0,3,644,85
201102,2011,2,628,36,24,88,27,12,3,2,820,86
201103,2011,3,1913,283,81,605,75,41,18,7,3023,87
201104,2011,4,9914,662,431,2374,511,209,42,11,14154,88
201105,2011,5,14338,1396,452,2445,846,254,49,25,19805,89
201106,2011,6,18211,1264,641,3448,1291,316,43,25,25239,90
201107,2011,7,22427,1093,1084,3014,2621,524,51,28,30842,91
201108,2011,8,29799,1438,1509,4424,3452,749,71,47,41489,92
201109,2011,9,19114,860,876,3085,1655,342,53,38,26023,93
201110,2011,10,12149,740,418,1948,752,186,46,4,16243,94
201111,2011,11,2712,208,111,343,153,42,13,9,3591,95
201112,2011,12,1004,65,69,228,83,39,7,3,1498,96
201201,2012,1,627,31,62,106,18,23,1,4,872,97
201202,2012,2,901,50,45,251,32,23,3,0,1305,98
201203,2012,3,2196,176,124,596,111,51,5,1,3260,99
201204,2012,4,9748,865,446,2705,603,327,28,27,14749,100
201205,2012,5,15527,1258,600,2999,933,351,61,47,21776,101
201206,2012,6,18262,1275,713,3319,1510,317,77,44,25517,102
201207,2012,7,22396,1373,1168,4241,2804,655,86,95,32818,103
201208,2012,8,27799,1390,1743,5071,3786,1095,92,120,41096,104
201209,2012,9,19884,848,1013,3354,1724,410,52,36,27321,105
201210,2012,10,13601,634,478,2265,846,223,27,17,18091,106
201211,2012,11,3019,210,169,506,200,44,14,8,4170,107
201212,2012,12,1024,50,43,211,70,58,9,18,1483,108
201301,2013,1,562,45,14,120,36,21,3,5,806,109
201302,2013,2,946,87,24,258,36,24,3,4,1382,110
201303,2013,3,4708,298,182,1487,198,316,11,28,7228,111
201304,2013,4,7832,535,390,2043,466,223,10,33,11532,112
201305,2013,5,18110,1307,654,3441,1172,427,69,25,25205,113
201306,2013,6,20968,1408,827,4070,1533,465,56,47,29374,114
201307,2013,7,25240,1424,1083,4815,2941,830,100,126,36559,115
201308,2013,8,31609,1658,1855,6403,3867,1190,48,96,46726,116
201309,2013,9,22136,1064,1095,4119,1795,570,67,48,30894,117
201310,2013,10,14891,728,542,2156,983,244,36,27,19607,118
201311,2013,11,3677,349,120,409,245,66,32,9,4907,119
201312,2013,12,1139,113,93,229,42,28,9,6,1659,120
201401,2014,1,609,25,58,136,43,32,2,1,906,121
201402,2014,2,679,92,27,114,35,22,0,1,970,122
201403,2014,3,2087,145,67,610,102,121,8,10,3150,123
201404,2014,4,11383,799,469,3552,589,509,17,29,17347,124
201405,2014,5,18834,1292,742,4575,1206,506,120,79,27354,125
201406,2014,6,23251,1361,1072,4566,1781,820,76,94,33021,126
201407,2014,7,26105,1495,1526,5496,3189,1508,74,188,39581,127
201408,2014,8,33983,1490,2140,7334,3939,2019,226,87,51218,128
201409,2014,9,23669,975,1358,5407,1918,962,72,96,34457,129
201410,2014,10,16677,579,646,2827,1872,487,66,51,23205,130
201411,2014,11,3528,146,133,556,272,116,43,9,4803,131
201412,2014,12,1205,89,82,321,62,92,12,7,1870,132
201501,2015,1,847,45,15,215,18,51,17,9,1217,133
201502,2015,2,1129,61,24,244,54,23,3,6,1544,134
201503,2015,3,3418,199,217,921,132,148,12,33,5080,135
201504,2015,4,11433,746,700,3450,665,670,27,30,17721,136
201505,2015,5,20534,1432,1086,5780,1298,779,75,92,31076,137
201506,2015,6,25018,1339,1466,4911,1877,1060,79,173,35923,138
201507,2015,7,27921,1893,2050,7446,3549,1812,70,53,44794,139
201508,2015,8,33763,1494,2966,9209,4458,2584,132,188,54794,140
201509,2015,9,24608,968,1837,6440,2159,1265,62,90,37429,141
201510,2015,10,18457,736,843,3635,1207,580,59,59,25576,142
201511,2015,11,3766,219,209,565,263,167,27,12,5228,143
201512,2015,12,1328,90,59,322,128,106,16,13,2062,144
201601,2016,1,862,43,66,217,45,60,3,8,1304,145
201602,2016,2,1195,40,38,286,40,117,12,5,1733,146
201603,2016,3,7008,530,419,2243,316,507,29,15,11067,147
201604,2016,4,9554,699,500,3315,533,470,19,10,15100,148
201605,2016,5,21302,1230,1228,6399,1480,978,72,87,32776,149
201606,2016,6,25615,1287,1604,6908,2268,1176,109,103,39070,150
201607,2016,7,27768,1595,2076,8082,3745,1984,148,73,45471,151
201608,2016,8,32226,1441,3035,9985,4416,2193,163,245,53704,152
